,Timestamp,SourceIPOuter,DestinationIPOuter,SourceIPInner,DestinationIPInner,PacketSize,SeqNum,location,type,delay,IAT
83,1738425724.030023,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,42,gnb,response,,0.020297765731811523
84,1738425724.0294657,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,43,gnb,request,,1.4543533325195312e-05
85,1738425724.0300236,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,43,gnb,response,,4.76837158203125e-07
86,1738425724.0494828,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,44,gnb,request,,0.020017147064208984
87,1738425724.0501316,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,44,gnb,response,,0.02010798454284668
88,1738425724.0693378,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,45,gnb,request,,0.019855022430419922
89,1738425724.0700295,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,45,gnb,response,,0.019897937774658203
90,1738425724.0693436,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,46,gnb,request,,5.7220458984375e-06
91,1738425724.0700488,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,46,gnb,response,,1.9311904907226562e-05
92,1738425724.0892289,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,47,gnb,request,,0.01988530158996582
93,1738425724.0898924,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,47,gnb,response,,0.019843578338623047
94,1738425724.1095507,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,48,gnb,request,,0.02032184600830078
95,1738425724.1102393,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,48,gnb,response,,0.020346879959106445
96,1738425724.109564,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,49,gnb,request,,1.33514404296875e-05
97,1738425724.1102571,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,49,gnb,response,,1.7881393432617188e-05
98,1738425724.1295037,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,50,gnb,request,,0.019939661026000977
99,1738425724.130178,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,50,gnb,response,,0.019920825958251953
100,1738425724.1493769,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,51,gnb,request,,0.01987314224243164
101,1738425724.1500652,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,51,gnb,response,,0.019887208938598633
102,1738425724.1493828,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,52,gnb,request,,5.9604644775390625e-06
103,1738425724.150076,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,52,gnb,response,,1.0728836059570312e-05
104,1738425724.1693165,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,53,gnb,request,,0.019933700561523438
105,1738425724.1699712,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,53,gnb,response,,0.019895315170288086
